date|time|description|vendor|amount
2023-12-08|09:14:30|Invoice 1401 paid|CreativeBits|940.00
2023-12-22|13:30:17|Valorant skin - bundle|Riot Games|-24.99
2024-01-05|11:41:02|Freelance gig - logo animation|RenderPlus|460.00
2024-01-19|15:02:47|Estrogen shot|ClinicOne|-85.00
2024-02-02|10:37:11|Vape pods (2-pack)|CloudZone|-17.50
2024-02-16|08:59:44|Paycheck|PixelMatter|1825.00
2024-03-01|14:10:35|Pokémon merch - plush|PokeCenter|-26.00
2024-03-15|13:21:18|Invoice 1409 paid|Streamline Studio|880.00
2024-03-29|09:17:40|Corset - black lace|CorsetHaus|-64.90
2024-04-12|11:56:22|Vape refill|CloudZone|-9.99
2024-04-26|08:40:01|Estrogen shot|ClinicOne|-85.00
2024-05-10|10:08:37|Freelance gig - music visuals|EchoMedia|395.00
2024-05-24|13:27:04|Valorant skin - knife|Riot Games|-29.99
2024-06-07|09:42:29|Pokémon game - Violet|GameStop|-59.99
2024-06-21|15:13:10|Paycheck|PixelMatter|1850.00
2024-07-05|14:47:11|Invoice 1415 paid|AltFrame|915.00
2024-07-19|11:28:53|Estrogen shot|ClinicOne|-85.00
2024-08-02|13:59:05|Corset - white satin|CorsetHaus|-69.90
2024-08-16|10:35:33|Freelance gig - podcast edit|AudioSync|330.00
2024-08-30|08:55:17|Vape starter kit|CloudZone|-39.95
2024-09-13|14:01:08|Pokémon merch - figure set|PokeCenter|-34.50
2024-09-27|09:37:26|Paycheck|PixelMatter|1880.00
2024-10-11|13:15:00|Estrogen shot|ClinicOne|-85.00
2024-10-25|10:44:20|Invoice 1422 paid|LaunchMates|1025.00
2024-11-08|12:20:34|Valorant skin - Phantom|Riot Games|-18.50
2024-11-22|11:02:16|Freelance gig - zine layout|PrintLab|370.00
2024-12-06|10:33:48|Pokémon game - Legends Arceus|GameStop|-54.99
2024-12-20|09:01:57|Paycheck|PixelMatter|1900.00
2025-01-03|13:18:41|Estrogen shot|ClinicOne|-85.00
2025-01-17|08:42:00|Invoice 1430 paid|Zenith Design|970.00
2025-01-31|14:09:25|Vape pods (fruit mix)|CloudZone|-17.50
2025-09-05|11:45:38|Pokémon merch - hoodie|PokeCenter|-42.00
2025-09-12|09:30:12|Freelance gig - stream overlay|OverlayHub|410.00
2025-09-26|08:50:47|Paycheck|PixelMatter|1925.00
2025-10-03|10:14:33|Valorant skin - bundle|Riot Games|-27.99
2025-10-17|13:40:29|Estrogen shot|ClinicOne|-85.00
2025-10-31|09:03:55|Invoice 1441 paid|Digital Crafters|1080.00
