date|time|description|vendor|amount
2023-12-06|10:08:22|Invoice 1301 paid|Brightline|975.00
2023-12-20|09:12:47|Nitro monthly|Discord|-9.99
2024-01-05|13:34:09|Freelance gig - UI design|VisualNest|460.00
2024-01-19|11:50:18|Gemini subscription|Gemini|-29.00
2024-02-02|08:45:33|ChatGPT Plus|OpenAI|-20.00
2024-02-16|14:25:11|Halal food - chicken bowl|Mecca Eats|-17.25
2024-03-01|10:00:17|Paycheck|ThinkGroup|1850.00
2024-03-15|15:14:43|Formal shirt & tie|Macy's|-68.40
2024-03-29|13:29:51|Invoice 1308 paid|NovaBrand|890.00
2024-04-12|09:51:04|Halal food - lamb platter|Cedar Grill|-19.90
2024-04-26|08:38:29|Nitro monthly|Discord|-9.99
2024-05-10|14:06:13|Freelance gig - ad layout|AdShift|400.00
2024-05-24|12:13:55|Gemini subscription|Gemini|-29.00
2024-06-07|13:57:39|ChatGPT Plus|OpenAI|-20.00
2024-06-21|10:30:41|Paycheck|ThinkGroup|1875.00
2024-07-05|14:45:02|Formal clothes - slacks|Macy's|-72.15
2024-07-19|09:10:23|Invoice 1315 paid|Glow Metrics|930.00
2024-08-02|11:34:19|Halal food - gyro wrap|Spice Line|-16.60
2024-08-16|15:02:18|Freelance gig - data viz|GraphIQ|385.00
2024-08-30|12:50:14|Nitro monthly|Discord|-9.99
2024-09-13|10:25:30|Gemini subscription|Gemini|-29.00
2024-09-27|09:41:46|ChatGPT Plus|OpenAI|-20.00
2024-10-11|14:19:22|Paycheck|ThinkGroup|1900.00
2024-10-25|13:28:33|Formal jacket|Macy's|-110.75
2024-11-08|08:55:17|Invoice 1324 paid|DigitalPath|1015.00
2024-11-22|12:10:47|Rocket League purchase|Epic Games|-19.99
2024-12-06|09:33:04|ARK: Survival Evolved|Steam|-24.99
2024-12-20|10:50:29|Nitro monthly|Discord|-9.99
2025-01-03|11:15:10|Freelance gig - editing|EditFlow|355.00
2025-01-17|15:20:43|Gemini subscription|Gemini|-29.00
2025-01-31|13:02:26|Paycheck|ThinkGroup|1920.00
2025-09-05|09:10:22|ChatGPT Plus|OpenAI|-20.00
2025-09-12|10:58:41|Halal food - falafel wrap|Spice Line|-14.75
2025-09-26|08:43:37|Freelance gig - campaign copy|CopyCore|420.00
2025-10-03|11:24:08|ARK 2 purchase|Steam|-39.99
2025-10-17|09:35:17|Invoice 1340 paid|PeakWorks|1080.00
2025-10-31|14:48:55|Nitro monthly|Discord|-9.99
