date|time|description|vendor|amount
2023-12-11|09:15:21|Invoice 1205 paid|PixelCraft|780.00
2023-12-26|11:40:35|Matcha latte|Leaf & Bean|-6.10
2024-01-08|13:05:47|Paycheck|Studio Co|1720.00
2024-01-23|10:23:56|Baggy jeans|Urban Threads|-48.90
2024-02-06|08:37:09|Freelance gig - poster design|DesignBay|310.00
2024-02-20|12:18:30|Tote bag - canvas|ToteWorks|-22.50
2024-03-04|14:55:14|Graphic tee|Threaded|-28.40
2024-03-18|11:42:05|Invoice 1218 paid|BrightTone Media|860.00
2024-04-01|16:01:39|Matcha & croissant|Matcha Mood|-9.80
2024-04-14|13:29:48|Feminist literature - Audre Lorde|Book Nook|-17.75
2024-04-29|09:47:10|Paycheck|Studio Co|1745.00
2024-05-13|10:52:33|Freelance gig - branding kit|ClientMaze|450.00
2024-05-27|15:38:01|Baggy jeans|Urban Threads|-51.25
2024-06-10|11:11:58|Invoice 1226 paid|Vision+ Studio|905.00
2024-06-24|12:44:02|Matcha iced|Green Cup|-6.75
2024-07-08|14:19:17|Tote bag - print design|ToteWorks|-24.00
2024-07-22|08:33:40|Freelance gig - reel editing|EditLab|320.00
2024-08-05|13:10:55|Graphic tee|Threaded|-30.10
2024-08-19|09:46:22|Paycheck|Studio Co|1770.00
2024-09-02|10:37:31|Clairo CD - Immunity|Vinyl Dreams|-14.50
2024-09-16|12:03:08|Invoice 1238 paid|Echo Solutions|980.00
2024-09-30|13:50:00|Feminist literature - bell hooks|Book Nook|-19.60
2024-10-14|11:22:40|Freelance gig - UX audit|UXtra|395.00
2024-10-28|08:59:18|Doc Martens|Boot & Co|-142.00
2024-11-11|14:41:33|Matcha latte|Leaf & Bean|-6.10
2024-11-25|09:03:56|Invoice 1250 paid|Nova Solutions|1020.00
2024-12-09|13:27:44|Tote bag - quote print|ToteWorks|-21.90
2024-12-23|15:58:22|Graphic tee|Threaded|-29.70
2025-01-06|10:45:18|Paycheck|Studio Co|1795.00
2025-01-20|13:34:12|Feminist literature - Roxane Gay|Book Nook|-18.20
2025-02-03|14:22:07|Freelance gig - illustration|Drawline|410.00
2025-03-17|09:18:35|Vinyl record player|Urbana|-49.90
2025-05-03|11:50:46|Invoice 1266 paid|StoryFoundry|940.00
2025-07-17|12:29:13|Matcha & muffin|Green Cup|-10.25
2025-08-07|08:38:52|Paycheck|Studio Co|1810.00
2025-09-04|10:15:00|Tote bag - artist collab|ToteWorks|-27.30
2025-09-17|11:28:45|Freelance gig - ad script|VoiceBox|370.00
2025-09-30|14:00:09|Graphic tee|Threaded|-31.80
2025-10-08|09:51:20|Feminist literature - Simone de Beauvoir|Book Nook|-22.40
2025-10-12|13:10:33|Tutoring session|Discord|4.20
2025-10-14|12:44:17|Aura farming next to window|YearUp|-3.50
