date|time|description|vendor|amount
2025-05-07|11:05:33|payment received|PayPal|770.00
2025-04-22|08:15:45|coffee|Starbucks|-5.99
2025-04-07|12:22:55|music subscription|Spotify|-9.99
2025-03-23|14:35:26|Invoice 1007 paid|Joe|1950.00
2025-03-08|18:25:17|ride fare|Uber|-21.60
2025-02-21|10:45:00|bulk groceries|Costco|-138.40
2025-02-06|09:55:09|tools|Home Depot|-53.25
2025-01-22|15:05:10|storage subscription|Dropbox|-9.99
2025-01-07|07:40:40|coffee|Starbucks|-6.35
2024-12-23|13:50:50|payment received|Stripe|620.00
2024-12-08|12:30:25|monthly subscription|Netflix|-15.99
2024-11-23|11:40:15|ride fare|Lyft|-18.90
2024-11-08|14:22:50|iPhone 14|Apple|-1099.00
2024-10-24|10:10:45|Invoice 1006 paid|Joe|2100.00
2024-10-09|09:00:33|electronics|Best Buy|-129.49
2024-09-24|11:17:08|gas|Shell|-58.10
2024-09-09|08:25:09|household items|Target|-66.40
2024-08-25|13:10:11|payment received|PayPal|500.00
2024-08-10|07:45:10|coffee|Starbucks|-5.45
2024-07-26|16:30:41|music subscription|Spotify|-9.99
2024-07-11|09:55:55|groceries|Walmart|-78.50
2024-06-26|17:15:30|Invoice 1005 paid|Joe|1750.00
2024-06-11|12:35:12|handmade gift|Etsy|-29.00
2024-05-27|14:05:22|bulk groceries|Costco|-117.35
2024-05-12|15:00:00|payment received|Stripe|890.00
2024-04-27|11:25:21|tools|Home Depot|-72.10
2024-04-12|06:45:34|monthly subscription|Netflix|-15.99
2024-03-28|19:30:45|ride fare|Uber|-22.40
2024-03-13|10:10:10|coffee|Starbucks|-6.85
2024-02-28|08:55:05|Invoice 1004 paid|Joe|1600.00
2024-02-14|14:11:18|office chair|Amazon|-129.99
2024-01-30|17:22:55|music subscription|Spotify|-9.99
2024-01-15|10:35:26|electronics|Best Buy|-89.99
2023-12-30|11:45:45|gas|Shell|-63.20
2023-12-15|12:00:00|payment received|PayPal|450.00
2023-11-28|13:15:00|groceries|Walmart|-91.12
2023-11-11|09:20:33|coffee|Starbucks|-5.75
2023-10-25|10:13:11|iPhone 14|Apple|-999.00
2023-10-10|15:40:55|Invoice 1003 paid|Joe|1350.00
2023-09-21|08:00:22|handmade gift|Etsy|-34.75
2023-09-05|19:55:44|ride fare|Lyft|-19.20
2023-08-20|11:26:18|bulk groceries|Costco|-127.80
2023-08-03|16:03:02|storage subscription|Dropbox|-9.99
2023-07-20|10:45:16|tools|Home Depot|-49.99
2023-07-05|14:10:30|payment received|Stripe|300.00
2023-06-18|07:33:49|monthly subscription|Netflix|-15.99
2023-06-01|18:05:03|ride fare|Uber|-24.50
2023-05-15|09:17:22|groceries|Walmart|-82.35
2023-05-01|13:40:57|Invoice 1002 paid|Joe|1200.00
2023-04-20|08:22:14|coffee|Starbucks|-6.45
