date|time|description|vendor|amount
2023-12-05|10:14:22|Scary Movie DVD|Amazon|-7.99
2023-12-21|13:44:55|Invoice #1043 Payment|Acme Co|1200.00
2024-01-06|09:28:14|Beanie (black, knit)|Target|-12.99
2024-01-22|11:33:40|Paycheck Deposit|Direct Deposit|1800.00
2024-02-07|14:19:05|Chain Necklace (silver)|Etsy|-18.00
2024-02-23|08:50:51|NASA Logo Cap|NASA Store|-24.00
2024-03-10|12:41:33|Freelance Payment|Client Payment|650.00
2024-03-26|15:10:27|Beanie (red)|Amazon|-11.49
2024-04-11|10:22:17|Chain Necklace (gold-tone)|eBay|-16.95
2024-04-27|13:58:12|Scary Movie 2 DVD|Target|-8.25
2024-05-13|09:41:45|Project Invoice #1081|Client B|925.00
2024-05-29|16:33:08|Beanie (gray, slouchy)|Zara|-14.99
2024-06-14|11:25:36|Rush Hour 3 DVD|Walmart|-6.99
2024-06-30|10:12:09|Paycheck Deposit|Payroll|1900.00
2024-07-16|13:44:52|NASA Water Bottle|NASA Store|-21.00
2024-08-01|15:29:33|Scary Movie 3 DVD|Amazon|-9.50
2024-08-17|09:55:16|Consulting Payment|XYZ Solutions|1000.00
2024-09-02|14:14:07|Chain Necklace (chunky)|Shein|-10.00
2024-09-18|11:31:44|NASA Socks (2-pack)|NASA Store|-9.99
2024-10-04|08:57:28|Monthly Paycheck|Direct Deposit|1750.00
2024-10-20|12:22:03|Rush Hour Trilogy DVD Set|Best Buy|-19.99
2024-11-05|14:48:56|Beanie (green)|Amazon|-12.49
2024-11-21|10:39:19|Chain Necklace (black stainless)|Etsy|-14.95
2024-12-07|13:13:44|Payment Received – Project X|Client Y|850.00
2024-12-23|09:26:38|Scary Movie 5 DVD|Target|-8.50
2025-01-08|10:59:11|Beanie (striped)|Zara|-15.00
2025-02-24|11:47:35|Invoice #1090 Paid|Agency Plus|1300.00
2025-04-09|14:07:18|NASA Keychain|NASA Store|-5.99
2025-05-25|10:21:22|Scary Movie DVD (Box Set)|Walmart|-24.99
2025-06-13|13:00:50|Beanie (brown)|Amazon|-11.99
2025-07-29|15:35:04|Freelance Payment|Client C|725.00
2025-07-14|09:15:33|NASA Hoodie (zip-up)|NASA Store|-42.00
2025-08-30|11:39:47|Paycheck Deposit|Payroll|1850.00
2025-09-16|13:20:02|Aura farming while muted|Discord|69.00
2025-09-01|10:11:09|Chain Necklace (vintage)|eBay|-13.75
2025-09-17|14:44:56|Retainer Fee Received|Client Retainer|500.00
2025-10-15|18:14:53|Kebabs|DonerHaus|-13.99
