date|time|description|vendor|amount
2023-12-01|11:12:32|One Piece Merch|HotTopic|-24.95
2023-12-14|09:05:10|Manga Vol. 1|Barnes & Noble|-12.99
2023-12-27|15:44:51|Freelance Payment – Writing|Client A|750.00
2024-01-09|08:27:04|Wet Wipes (pack of 3)|Walmart|-8.99
2024-01-22|13:15:23|Invoice #4001 Paid|Studio Z|925.00
2024-02-04|16:32:41|First Aid Kit|CVS|-19.99
2024-02-17|10:22:16|Backpack|The North Face|-75.00
2024-03-01|17:01:40|Paycheck|Employer Direct Deposit|1850.00
2024-03-27|14:47:56|Manga Vol. 2|Barnes & Noble|-13.99
2024-04-09|12:29:14|Hand Sanitizer|CVS|-4.49
2024-04-22|09:53:02|Wet Wipes (pack of 2)|Target|-6.99
2024-05-05|11:11:45|Pens (set of 6)|Staples|-3.99
2024-05-18|18:25:19|Reimbursement: Office Supplies|HR Reimbursements|15.99
2024-05-31|13:33:12|Backpack|Kohl's|-45.00
2024-06-13|17:58:47|One Piece Merch (sticker pack)|Redbubble|-9.99
2024-06-26|10:12:04|Project Invoice #224|Creative Co|1300.00
2024-07-09|11:47:58|Hand Sanitizer|Target|-3.49
2024-07-22|14:39:11|Wet Wipes (travel pack)|CVS|-2.99
2024-08-04|16:02:02|Consulting Payment|Client B|950.00
2024-08-17|09:22:55|First Aid Kit|Amazon|-18.00
2024-08-30|12:18:32|One Piece Merch (figurine)|eBay|-29.99
2024-09-25|14:48:55|Freelance Payment – Design|Client C|600.00
2024-10-08|15:40:11|Hand Sanitizer|Walmart|-4.49
2024-10-21|11:10:28|Wet Wipes (bulk pack)|Costco|-10.99
2024-11-03|10:01:55|Pens (set of 8)|Target|-6.49
2024-11-16|16:03:23|First Aid Kit (travel)|CVS|-12.99
2024-11-29|12:52:41|Backpack|Amazon|-55.00
2024-12-12|09:44:17|One Piece Merch (keychain)|Redbubble|-8.99
2025-01-15|11:12:46|Reimbursement: Conference Travel|Company X|100.00
2025-01-28|14:27:55|Hand Sanitizer|Target|-3.89
2025-02-10|15:39:32|Wet Wipes (refill)|Walmart|-7.99
2025-02-23|10:55:22|Invoice Payment #3302|Digital Freelance|975.00
2025-03-08|13:22:11|First Aid Kit (advanced)|Amazon|-25.00
2025-03-21|16:18:44|One Piece Merch (poster)|HotTopic|-14.99
2025-04-16|14:33:21|Manga Vol. 6|Barnes & Noble|-17.49
2025-04-29|09:12:03|Retainer Payment|Client D|500.00
2025-05-12|13:47:32|Wet Wipes (travel pack)|Target|-3.49
2025-05-25|10:24:15|Pens (set of 12)|Amazon|-5.99
2025-06-07|11:56:28|First Aid Kit|CVS|-22.99
2025-06-20|08:12:47|Paycheck|Employer Payroll|1900.00
2025-07-03|17:01:54|One Piece Merch (figurine)|eBay|-29.99
2025-07-29|11:47:58|Manga Vol. 7|Barnes & Noble|-18.99
2025-08-11|13:22:11|Payment Received – Workshop|Event Host|350.00
2025-08-24|12:52:41|Wet Wipes (bulk pack)|Walmart|-10.99
2025-09-06|16:03:23|Pens (set of 8)|Target|-6.99
2025-09-19|14:48:55|First Aid Kit (refill)|Walmart|-15.49
2025-10-02|09:22:55|Backpack|Amazon|-55.00
2025-10-15|13:39:58|Dora Halloween costume|Amazon|-32.00
