date|time|description|vendor|amount
2023-12-05|09:10:34|Invoice 1101 paid|Acme Design Co|950.00
2023-12-12|12:24:01|Lunch - Korean food|Seoul Street|-18.75
2024-01-03|15:48:20|Freelance gig - logo|FreelancerHub|320.00
2024-01-15|08:55:10|Coffee|Blue Bottle|-5.60
2024-01-25|14:17:45|Hair dye appointment|Glow Salon|-115.00
2024-02-08|11:02:32|Fragrant conditioner|Whole Beauty|-16.80
2024-02-20|17:22:19|Invoice 1115 paid|NeoSoft|740.00
2024-03-01|13:15:08|Dinner - Korean food|Hanok Table|-24.50
2024-03-18|10:41:56|Paycheck|Creative Inc|1800.00
2024-04-02|09:08:10|Coffee and pastry|Daily Grind|-9.20
2024-04-17|16:44:21|Hair dye appointment|Glow Salon|-118.00
2024-05-01|11:38:03|Fragrant conditioner|Beauty Drop|-14.95
2024-05-18|12:57:48|Invoice 1132 paid|Bright Media|880.00
2024-06-02|10:03:14|Lunch - Korean food|Bibim Bar|-19.30
2024-06-16|08:20:09|Paycheck|Creative Inc|1825.00
2024-07-05|17:31:54|Groceries|FreshMart|-64.12
2024-07-21|13:03:07|Freelance gig - website|ClientX|450.00
2024-08-03|09:45:33|Hair dye appointment|Glow Salon|-122.00
2024-08-19|14:28:01|Coffee|Cafe Novo|-6.10
2024-09-01|12:00:44|Fragrant conditioner|Whole Beauty|-15.50
2024-09-15|11:37:17|Invoice 1149 paid|Skyline Tech|1020.00
2024-09-28|16:22:30|Dinner - Korean food|Seoul Table|-21.95
2024-10-10|07:58:19|Paycheck|Creative Inc|1850.00
2024-10-23|10:45:01|Snacks and water|QuickMart|-7.80
2024-11-07|15:33:42|Fragrant conditioner|Beauty Drop|-16.20
2024-11-22|14:20:05|Freelance gig - copywriting|WriteWell|375.00
2024-12-05|13:55:12|Hair dye appointment|Glow Salon|-120.00
2024-12-18|10:10:30|Coffee|Bean There|-5.45
2025-01-03|11:03:14|Invoice 1175 paid|GreenSpark|960.00
2025-01-20|12:49:56|Lunch - Korean food|Bibim Bar|-20.40
2025-02-03|14:11:42|Paycheck|Creative Inc|1875.00
2025-02-15|09:37:08|Groceries|FreshMart|-72.35
2025-03-04|13:22:51|Fragrant conditioner|Whole Beauty|-14.75
2025-03-19|16:41:09|Invoice 1188 paid|MediaFlow|890.00
2025-04-03|10:12:25|Dinner - Korean food|Hanok Table|-23.60
2025-04-21|11:44:33|Freelance gig - social media|TrendLab|410.00
2025-05-10|07:59:57|Coffee|Blue Bottle|-6.25
2025-05-24|08:47:00|Paycheck|Creative Inc|1890.00
2025-06-11|15:29:13|Snacks and soda|QuickMart|-8.90
2025-09-20|09:10:11|Invoice 1202 paid|NextGen Web|1120.00
2025-09-24|14:57:48|Freelance gig - blog series|BlogWorks|395.00
2025-10-06|12:04:06|Venmo for banh mi|Jason|-3.50
